"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
1,,,,,"36 turas",,
2,"2021-11-28, 15:00","Žalgiris","3 : 2","Džiugas","2021-11-28, 15:00	 	Žalgiris
	3 : 2	
Džiugas	LFF stadionas","Žalgiris","Džiugas"
3,"2021-11-28, 15:00","Sūduva","0 : 1","Dainava","2021-11-28, 15:00	 	Sūduva
	0 : 1	
Dainava	Marijampolės futbolo arenos maniežas","Dainava","Dainava"
4,"2021-11-28, 15:00","Panevėžys","2 : 2","Hegelmann","2021-11-28, 15:00	 	Panevėžys
	2 : 2	
Hegelmann	„Aukštaitijos“ stadionas","Panevėžys","Hegelmann"
5,"2021-11-28, 15:00","Nevėžis","0 : 6","Riteriai","2021-11-28, 15:00	 	Nevėžis
	0 : 6	
Riteriai	Kėdainių centrinis stadionas","Nevėžis","Riteriai"
6,"2021-11-28, 15:00","K. Žalgiris","0 : 1","Banga","2021-11-28, 15:00	 	K. Žalgiris
	0 : 1	
Banga	LFF Kauno treniruočių centro st.","K. Žalgiris","K. Žalgiris"
7,,,,,"19 turas",,
8,"2021-11-24, 19:00","Žalgiris","2 : 0","Panevėžys","2021-11-24, 19:00	 	Žalgiris
	2 : 0	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
9,,,,,"34 turas",,
10,"2021-11-24, 18:00","Banga","3 : 1","Nevėžis","2021-11-24, 18:00	 	Banga
	3 : 1	
Nevėžis	Gargždų m. stadionas","Banga","Nevėžis"
11,,,,,"35 turas",,
12,"2021-11-21, 13:00","Panevėžys","3 : 0","Nevėžis","2021-11-21, 13:00	 	Panevėžys
	3 : 0	
Nevėžis	„Žemynos“ progimnazijos stadionas","Panevėžys","Nevėžis"
13,"2021-11-20, 17:00","Sūduva","3 : 1","Džiugas","2021-11-20, 17:00	 	Sūduva
	3 : 1	
Džiugas	Marijampolės futbolo arenos maniežas","Sūduva","Džiugas"
14,"2021-11-20, 13:00","Hegelmann","0 : 0","Riteriai","2021-11-20, 13:00	 	Hegelmann
	0 : 0	
Riteriai	LFF Kauno treniruočių centro st.","Hegelmann","Riteriai"
15,"2021-11-19, 20:00","Banga","1 : 1","Dainava","2021-11-19, 20:00	 	Banga
	1 : 1	
Dainava	Gargždų m. stadionas","Dainava","Dainava"
16,"2021-11-19, 18:00","Žalgiris","0 : 0","K. Žalgiris","2021-11-19, 18:00	 	Žalgiris
	0 : 0	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
17,,,,,"34 turas",,
18,"2021-11-07, 15:00","Žalgiris","0 : 2","Žalgiris","2021-11-07, 15:00	 	Dainava
	0 : 2	
Žalgiris	Alytaus m. stadionas","Dainava","Žalgiris"
19,"2021-11-07, 13:00","Hegelmann","2 : 1","Sūduva","2021-11-07, 13:00	 	Hegelmann
	2 : 1	
Sūduva	LFF Kauno treniruočių centro st.","Hegelmann","Sūduva"
