"Position","Date","Home","Result","Away","Sanity check","Home-missing","Away-missing"
1,,,,,"36 turas",,
2,"2022-11-23, 19:00","Žalgiris","2 : 3","K. Žalgiris","2022-11-23, 19:00	 	Žalgiris
	2 : 3	
K. Žalgiris	LFF stadionas","Žalgiris","K. Žalgiris"
3,"2022-11-23, 19:00","Banga","2 : 3","Šiauliai","2022-11-23, 19:00	 	Banga
	2 : 3	
Šiauliai	Gargždų m. stadionas","Banga","Šiauliai"
4,"2022-11-23, 19:00","Hegelmann","2 : 2","Riteriai","2022-11-23, 19:00	 	Hegelmann
	2 : 2	
Riteriai	LFF Kauno treniruočių centro st.","Hegelmann","Riteriai"
5,"2022-11-23, 19:00","Panevėžys","2 : 1","Jonava","2022-11-23, 19:00	 	Panevėžys
	2 : 1	
Jonava	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
6,"2022-11-23, 19:00","Sūduva","1 : 1","Džiugas","2022-11-23, 19:00	 	Sūduva
	1 : 1	
Džiugas	Marijampolės futbolo arenos maniežas","Sūduva","Džiugas"
7,,,,,"26 turas",,
8,"2022-11-20, 17:55","Žalgiris","5 : 0","Šiauliai","2022-11-20, 17:55	 	Žalgiris
	5 : 0	
Šiauliai	LFF stadionas","Žalgiris","Šiauliai"
9,,,,,"31 turas",,
10,"2022-11-17, 18:00","Žalgiris","0 : 2","Žalgiris","2022-11-17, 18:00	 	Banga
	0 : 2	
Žalgiris	Gargždų m. stadionas","Banga","Žalgiris"
11,,,,,"35 turas",,
12,"2022-11-13, 19:30","Riteriai","2 : 1","Panevėžys","2022-11-13, 19:30	 	Riteriai
	2 : 1	
Panevėžys	„Sportima“","Riteriai","Panevėžys"
13,"2022-11-13, 17:55","Žalgiris","3 : 0","Žalgiris","2022-11-13, 17:55	 	Šiauliai
	3 : 0	
Žalgiris	Šiaulių sav. stadionas","Šiauliai","Žalgiris"
14,"2022-11-13, 13:00","Džiugas","0 : 3","K. Žalgiris","2022-11-13, 13:00	 	Džiugas
	0 : 3	
K. Žalgiris	Telšių m. centrinis stadionas","Džiugas","K. Žalgiris"
15,"2022-11-13, 13:00","Hegelmann","2 : 0","Sūduva","2022-11-13, 13:00	 	Hegelmann
	2 : 0	
Sūduva	LFF Kauno treniruočių centro st.","Hegelmann","Sūduva"
16,"2022-11-11, 18:00","Banga","2 : 0","Jonava","2022-11-11, 18:00	 	Banga
	2 : 0	
Jonava	Gargždų m. stadionas","Banga","Jonava"
17,,,,,"19 turas",,
18,"2022-11-09, 19:00","Žalgiris","0 : 1","Panevėžys","2022-11-09, 19:00	 	Žalgiris
	0 : 1	
Panevėžys	LFF stadionas","Žalgiris","Panevėžys"
19,,,,,"31 turas",,
20,"2022-11-08, 19:30","Riteriai","2 : 0","K. Žalgiris","2022-11-08, 19:30	 	Riteriai
	2 : 0	
K. Žalgiris	„Sportima“","Riteriai","K. Žalgiris"
21,,,,,"29 turas",,
22,"2022-11-06, 17:55","Žalgiris","1 : 2","Žalgiris","2022-11-06, 17:55	 	Sūduva
	1 : 2	
Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","Žalgiris"
23,,,,,"20 turas",,
24,"2022-11-05, 14:00","K. Žalgiris","0 : 0","K. Žalgiris","2022-11-05, 14:00	 	K. Žalgiris
	0 : 0	
Panevėžys	Dariaus ir Girėno stadionas","K. Žalgiris","Panevėžys"
25,,,,,"34 turas",,
26,"2022-10-30, 17:55","Panevėžys","3 : 1","Hegelmann","2022-10-30, 17:55	 	Panevėžys
	3 : 1	
Hegelmann	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
27,"2022-10-30, 15:00","Žalgiris","6 : 0","Džiugas","2022-10-30, 15:00	 	Žalgiris
	6 : 0	
Džiugas	LFF stadionas","Žalgiris","Džiugas"
28,"2022-10-29, 17:00","Šiauliai","2 : 0","Sūduva","2022-10-29, 17:00	 	Šiauliai
	2 : 0	
Sūduva	Šiaulių sav. stadionas","Šiauliai","Sūduva"
29,"2022-10-29, 17:00","Jonava","0 : 3","Riteriai","2022-10-29, 17:00	 	Jonava
	0 : 3	
Riteriai	Jonavos m. stadionas","Jonava","Riteriai"
30,"2022-10-29, 14:00","K. Žalgiris","3 : 0","K. Žalgiris","2022-10-29, 14:00	 	K. Žalgiris
	3 : 0	
Banga	Dariaus ir Girėno stadionas","Banga","Banga"
31,,,,,"33 turas",,
32,"2022-10-23, 17:55","Žalgiris","2 : 1","Hegelmann","2022-10-23, 17:55	 	Žalgiris
	2 : 1	
Hegelmann	LFF stadionas","Žalgiris","Hegelmann"
33,"2022-10-23, 15:00","Sūduva","1 : 0","Jonava","2022-10-23, 15:00	 	Sūduva
	1 : 0	
Jonava	Marijampolės futbolo arenos stadionas","Sūduva","Jonava"
34,"2022-10-23, 15:00","K. Žalgiris","1 : 0","K. Žalgiris","2022-10-23, 15:00	 	K. Žalgiris
	1 : 0	
Šiauliai	Dariaus ir Girėno stadionas","K. Žalgiris","Šiauliai"
35,"2022-10-23, 13:00","Džiugas","0 : 0","Panevėžys","2022-10-23, 13:00	 	Džiugas
	0 : 0	
Panevėžys	Telšių m. centrinis stadionas","Džiugas","Panevėžys"
36,"2022-10-21, 18:00","Riteriai","2 : 2","Banga","2022-10-21, 18:00	 	Riteriai
	2 : 2	
Banga	LFF stadionas","Banga","Banga"
37,,,,,"28 turas",,
38,"2022-10-19, 20:00","Žalgiris","0 : 1","Žalgiris","2022-10-19, 20:00	 	Panevėžys
	0 : 1	
Žalgiris	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
39,"2022-10-19, 18:00","Sūduva","0 : 2","K. Žalgiris","2022-10-19, 18:00	 	Sūduva
	0 : 2	
K. Žalgiris	Marijampolės futbolo arenos stadionas","Sūduva","K. Žalgiris"
40,,,,,"20 turas",,
41,"2022-10-15, 18:00","Šiauliai","2 : 0","Jonava","2022-10-15, 18:00	 	Šiauliai
	2 : 0	
Jonava	Šiaulių sav. stadionas","Šiauliai","Jonava"
42,,,,,"32 turas",,
43,"2022-10-09, 20:00","Banga","1 : 1","Panevėžys","2022-10-09, 20:00	 	Banga
	1 : 1	
Panevėžys	Gargždų m. stadionas","Banga","Panevėžys"
44,"2022-10-09, 17:55","Riteriai","2 : 3","Sūduva","2022-10-09, 17:55	 	Riteriai
	2 : 3	
Sūduva	LFF stadionas","Riteriai","Sūduva"
45,"2022-10-09, 15:00","Žalgiris","0 : 4","Žalgiris","2022-10-09, 15:00	 	Jonava
	0 : 4	
Žalgiris	Jonavos m. stadionas","Jonava","Žalgiris"
46,"2022-10-09, 13:00","K. Žalgiris","1 : 1","K. Žalgiris","2022-10-09, 13:00	 	K. Žalgiris
	1 : 1	
Hegelmann	„Kauno Žalgirio“ FA stadionas","K. Žalgiris","Hegelmann"
47,"2022-10-08, 13:00","Džiugas","1 : 0","Šiauliai","2022-10-08, 13:00	 	Džiugas
	1 : 0	
Šiauliai	Telšių m. centrinis stadionas","Džiugas","Šiauliai"
48,,,,,"31 turas",,
49,"2022-10-02, 17:55","Panevėžys","2 : 0","Sūduva","2022-10-02, 17:55	 	Panevėžys
	2 : 0	
Sūduva	„Aukštaitijos“ stadionas","Panevėžys","Panevėžys"
